Timestamp,Date,Stablecoins Mcap,Bridged TVL
1716163200000,2024-05-20,1076158599,
1716249600000,2024-05-21,1075265336,
1716336000000,2024-05-22,1073485488,
1716422400000,2024-05-23,1072452766,
1716508800000,2024-05-24,1080651841,
1716595200000,2024-05-25,1079923979,
1716681600000,2024-05-26,1064638854,
1716768000000,2024-05-27,1068985265,
1716854400000,2024-05-28,1072363344,
1716940800000,2024-05-29,1074562068,
1717027200000,2024-05-30,1083840626,
1717113600000,2024-05-31,1086034630,
1717200000000,2024-06-01,1091380428,
1717286400000,2024-06-02,1110632272,
1717372800000,2024-06-03,1118913456,
1717459200000,2024-06-04,1120872306,
1717545600000,2024-06-05,1121817277,
1717632000000,2024-06-06,1121812212,
1717718400000,2024-06-07,1160029749,
1717804800000,2024-06-08,1177928375,
1717891200000,2024-06-09,1193937079,
1717977600000,2024-06-10,1192967516,
1718064000000,2024-06-11,1192536422,
1718150400000,2024-06-12,1188906648,
1718236800000,2024-06-13,1190919473,
1718323200000,2024-06-14,1212828980,
